id,classe,diagnostico,fonte,url,magnificacao,coloracao,arquivo_imagem
codocitos_019,codocitos,,,,,Wright-Giemsa,
codocitos_020,codocitos,,,,,Wright-Giemsa,
dacriocitos_001,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_002,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_003,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_004,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_005,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_006,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_007,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_008,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_009,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_010,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_011,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_012,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_013,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_014,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_015,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_016,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_017,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_018,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_019,dacriocitos,,,,,Wright-Giemsa,
dacriocitos_020,dacriocitos,,,,,Wright-Giemsa,
drepanocitos_001,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_002,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_003,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_004,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_005,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_006,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_007,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_008,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_009,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_010,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_011,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_012,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_013,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_014,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_015,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_016,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_017,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_018,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_019,drepanocitos,,,,,Wright-Giemsa,
drepanocitos_020,drepanocitos,,,,,Wright-Giemsa,
eliptocitos_001,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_002,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_003,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_004,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_005,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_006,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_007,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_008,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_009,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_010,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_011,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_012,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_013,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_014,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_015,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_016,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_017,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_018,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_019,eliptocitos,,,,,Wright-Giemsa,
eliptocitos_020,eliptocitos,,,,,Wright-Giemsa,
estomatocitos_001,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_002,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_003,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_004,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_005,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_006,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_007,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_008,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_009,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_010,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_011,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_012,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_013,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_014,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_015,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_016,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_017,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_018,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_019,estomatocitos,,,,,Wright-Giemsa,
estomatocitos_020,estomatocitos,,,,,Wright-Giemsa,
esquizocitos_001,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_002,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_003,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_004,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_005,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_006,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_007,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_008,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_009,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_010,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_011,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_012,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_013,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_014,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_015,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_016,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_017,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_018,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_019,esquizocitos,,,,,Wright-Giemsa,
esquizocitos_020,esquizocitos,,,,,Wright-Giemsa,
hemacias_crenadas_001,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_002,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_003,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_004,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_005,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_006,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_007,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_008,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_009,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_010,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_011,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_012,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_013,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_014,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_015,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_016,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_017,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_018,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_019,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_crenadas_020,hemacias_crenadas,,,,,Wright-Giemsa,
hemacias_microciticas_001,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_002,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_003,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_004,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_005,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_006,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_007,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_008,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_009,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_010,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_011,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_012,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_013,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_014,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_015,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_016,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_017,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_018,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_019,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_microciticas_020,hemacias_microciticas,,,,,Wright-Giemsa,
hemacias_macrociticas_001,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_002,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_003,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_004,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_005,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_006,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_007,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_008,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_009,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_010,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_011,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_012,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_013,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_014,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_015,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_016,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_017,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_018,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_019,hemacias_macrociticas,,,,,Wright-Giemsa,
hemacias_macrociticas_020,hemacias_macrociticas,,,,,Wright-Giemsa,
rouleaux_001,rouleaux,,,,,Wright-Giemsa,
rouleaux_002,rouleaux,,,,,Wright-Giemsa,
rouleaux_003,rouleaux,,,,,Wright-Giemsa,
rouleaux_004,rouleaux,,,,,Wright-Giemsa,
rouleaux_005,rouleaux,,,,,Wright-Giemsa,
rouleaux_006,rouleaux,,,,,Wright-Giemsa,
rouleaux_007,rouleaux,,,,,Wright-Giemsa,
rouleaux_008,rouleaux,,,,,Wright-Giemsa,
rouleaux_009,rouleaux,,,,,Wright-Giemsa,
rouleaux_010,rouleaux,,,,,Wright-Giemsa,
rouleaux_011,rouleaux,,,,,Wright-Giemsa,
rouleaux_012,rouleaux,,,,,Wright-Giemsa,
rouleaux_013,rouleaux,,,,,Wright-Giemsa,
rouleaux_014,rouleaux,,,,,Wright-Giemsa,
rouleaux_015,rouleaux,,,,,Wright-Giemsa,
rouleaux_016,rouleaux,,,,,Wright-Giemsa,
rouleaux_017,rouleaux,,,,,Wright-Giemsa,
rouleaux_018,rouleaux,,,,,Wright-Giemsa,
rouleaux_019,rouleaux,,,,,Wright-Giemsa,
rouleaux_020,rouleaux,,,,,Wright-Giemsa,
ovalocitos_001,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_002,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_003,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_004,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_005,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_006,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_007,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_008,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_009,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_010,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_011,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_012,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_013,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_014,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_015,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_016,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_017,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_018,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_019,ovalocitos,,,,,Wright-Giemsa,
ovalocitos_020,ovalocitos,,,,,Wright-Giemsa,
poiquilocitose_001,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_002,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_003,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_004,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_005,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_006,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_007,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_008,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_009,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_010,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_011,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_012,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_013,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_014,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_015,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_016,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_017,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_018,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_019,poiquilocitose,,,,,Wright-Giemsa,
poiquilocitose_020,poiquilocitose,,,,,Wright-Giemsa,
policromasia_001,policromasia,,,,,Wright-Giemsa,
policromasia_002,policromasia,,,,,Wright-Giemsa,
policromasia_003,policromasia,,,,,Wright-Giemsa,
policromasia_004,policromasia,,,,,Wright-Giemsa,
policromasia_005,policromasia,,,,,Wright-Giemsa,
policromasia_006,policromasia,,,,,Wright-Giemsa,
policromasia_007,policromasia,,,,,Wright-Giemsa,
policromasia_008,policromasia,,,,,Wright-Giemsa,
policromasia_009,policromasia,,,,,Wright-Giemsa,
policromasia_010,policromasia,,,,,Wright-Giemsa,
policromasia_011,policromasia,,,,,Wright-Giemsa,
policromasia_012,policromasia,,,,,Wright-Giemsa,
policromasia_013,policromasia,,,,,Wright-Giemsa,
policromasia_014,policromasia,,,,,Wright-Giemsa,
policromasia_015,policromasia,,,,,Wright-Giemsa,
policromasia_016,policromasia,,,,,Wright-Giemsa,
policromasia_017,policromasia,,,,,Wright-Giemsa,
policromasia_018,policromasia,,,,,Wright-Giemsa,
policromasia_019,policromasia,,,,,Wright-Giemsa,
policromasia_020,policromasia,,,,,Wright-Giemsa,
pontilhado_basofilico_001,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_002,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_003,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_004,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_005,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_006,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_007,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_008,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_009,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_010,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_011,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_012,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_013,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_014,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_015,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_016,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_017,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_018,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_019,pontilhado_basofilico,,,,,Wright-Giemsa,
pontilhado_basofilico_020,pontilhado_basofilico,,,,,Wright-Giemsa,
howell_jolly_001,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_002,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_003,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_004,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_005,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_006,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_007,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_008,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_009,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_010,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_011,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_012,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_013,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_014,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_015,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_016,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_017,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_018,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_019,howell_jolly,,,,,Wright-Giemsa,
howell_jolly_020,howell_jolly,,,,,Wright-Giemsa,
plasmodium_vivax_001,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_002,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_003,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_004,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_005,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_006,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_007,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_008,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_009,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_010,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_011,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_012,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_013,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_014,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_015,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_016,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_017,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_018,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_019,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_vivax_020,plasmodium_vivax,,,,,Wright-Giemsa,
plasmodium_falciparum_001,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_002,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_003,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_004,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_005,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_006,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_007,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_008,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_009,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_010,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_011,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_012,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_013,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_014,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_015,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_016,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_017,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_018,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_019,plasmodium_falciparum,,,,,Wright-Giemsa,
plasmodium_falciparum_020,plasmodium_falciparum,,,,,Wright-Giemsa,
trypanosoma_chagas_001,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_002,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_003,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_004,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_005,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_006,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_007,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_008,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_009,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_010,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_011,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_012,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_013,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_014,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_015,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_016,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_017,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_018,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_019,trypanosoma_chagas,,,,,Wright-Giemsa,
trypanosoma_chagas_020,trypanosoma_chagas,,,,,Wright-Giemsa,
linfocito_atipico_001,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_002,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_003,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_004,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_005,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_006,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_007,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_008,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_009,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_010,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_011,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_012,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_013,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_014,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_015,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_016,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_017,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_018,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_019,linfocito_atipico,,,,,Wright-Giemsa,
linfocito_atipico_020,linfocito_atipico,,,,,Wright-Giemsa,
granulacoes_toxicas_001,granulacoes_toxicas,,,,,Wright-Giemsa,
